Station,fx,fy,fz,Latitude,Longitude,Zone,Postcode,Zone_original
Tooting,527969,170591,0,51.41989637122430,-0.161002471,3,SW17 9JR,3
Tooting Bec,528015,172366,0,51.435837804955500,-0.159700491,3,SW17 9AH,3
Tooting Broadway,527415,171373,0,51.42704887092590,-0.168684526,3,SW17 0SU,3
Tottenham Court Road,529774,181354,0,51.516210657936200,-0.131110438,1,W1D 2DA,1
Tottenham Hale,534483,189465,0,51.58799768229060,-0.060187822,3,N17 9LR,3
Totteridge and Whetstone,526111,193951,0,51.63024642876390,-0.179354261,4,N20 9QP,4
Tower Gateway,533725,180809,0,51.51039252305750,-0.074409877,1,EC3N 1JL,1
Tower Hill,533566,180805,0,51.51039415022930,-0.076701198,1,EC3N 4DJ,1
Tufnell Park,529200,185816,0,51.55644057500820,-0.137742174,2,N19 5QB,2
Tulse Hill,531797,172903,0,51.43979726,-0.105122508,3,SE27 9BW,3
Turkey Street,535129,198903,0,51.67265358634990,-0.047229931,6,EN3 5TT,6
Turnham Green,521267,178804,0,51.49518152685560,-0.254524564,2,W4 1LR,2
Turnpike Lane,531524,189650,0,51.59035796825510,-0.102805041,3,N15 3NX,3
Twickenham,516221,173687,0,51.450250410920500,-0.32886022,5,TW1 1BD,5
Twyford,479041,175787,0,51.47553252815790,-0.863306993,9,RG10 9NA,
Upminster,556167,186833,0,51.558763771001500,0.2514008048009920,6,RM14 2TD,6
Upminster Bridge,555002,186681,0,51.55771918780090,0.23454189192904200,6,RM12 6PL,6
Upney,545844,184260,0,51.53840581666550,0.10153174466413700,4,IG11 9LS,4
Upper Holloway,529778,186630,0,51.56362309586850,-0.129109363,2,N19 4DJ,2
Upper Warlingham,534100,158383,0,51.308772130153500,-0.077481662,6,CR3 0EP,6
Upton Park,541204,183931,0,51.536628259878100,0.03454184,3,E13 9AP,3
Uxbridge,505698,184161,0,51.54645372786720,-0.477101546,6,UB8 1JZ,6
Vauxhall,530366,177978,0,51.48573560145270,-0.123829952,1,SW8 1SR,"1,2"
Victoria,528941,179131,0,51.49642371956770,-0.143920705,1,SW1E 5JX,1
Waddon,531151,164828,0,51.36737906715270,-0.117394076,5,CR0 4NA,5
Waddon Marsh,531082,165906,0,51.37708276115930,-0.117987464,3,CR0 4XT,"3,4,5,6"
Wallington,528841,163985,0,51.36033129956510,-0.150863834,5,SM6 0DZ,5
Waltham Cross,536520,200343,0,51.68525721552800,-0.026564257,7,EN8 7LU,7
Walthamstow Central,537286,188986,0,51.58301808337610,-0.019940545,3,E17 7LP,3
Walthamstow Queens Road,537020,188815,0,51.58154615511210,-0.023843943,3,E17 7QZ,3
Wandle Park,531422,165505,0,51.373400532627600,-0.11325332,3,CR0 4JS,"3,4,5,6"
Wandsworth Common,527719,173530,0,51.44636533894140,-0.163536979,3,SW12 8NL,3
Wandsworth Road,529354,176226,0,51.47022297701060,-0.139037675,2,SW8 4PA,2
Wandsworth Town,525985,175119,0,51.46103377041170,-0.187910036,2,SW18 1SU,2
Wanstead,540685,188176,0,51.574902199570900,0.028760472,4,E11 2NT,4
Wanstead Park,540592,185600,0,51.55177812,0.026389943051784700,3,E7 0HU,3
Wapping,535030,180170,0,51.50434022750500,-0.055860814,2,E1W 3PA,2
